Record_Index,Provider_First_Name,Provider_Last_Name,Original_Practice_Name,Matching_Status,Matched_Practice_Name,Similarity_Score,Matched_NPI,Matched_Column,Associated_Provider,City,State,NPI-1_From_API,NPI-2_From_API
313,BIJAN,ROSHAN,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043280407.0,1205959574.0
314,VAHE,GYULNAZARYAN,"REGAL MEDICAL GROUP, INC.",Matched (Exact),Regal Medical Group,100,1211111111.0,CompanyName,,Northridge,CA,1053757781.0,1588748073.0
315,DIMITRIOS,DIAMANDIDIS,THE ONCOLOGY INSTITUTE OF HOPE AND INNOVATION,Not Matched,,0,,,,,,1063457737.0,1285472886.0
316,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
317,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
318,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
319,RAHUL,SHARMA,JOSEPH A CAPLAN MD PC,Matched (Fuzzy),JOSEPH G ABDO MD PC,75,,medical group,,,,1063675288.0,1649389156.0
320,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
321,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
322,BRETT,BRIMHALL,,No Practice Name,,0,,,,,,1790712032.0,
323,LAURA,DE LA TORRE,CAREMORE HEALTH PLAN OF ARIZONA INC,Matched (Fuzzy),"Central Health Plan of California, Inc.",78,1861527301.0,CompanyName,,Diamond Bar,CA,1821316399.0,1992178982.0
324,LIXIAN,ZOU,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1053359737.0,1013198837.0
325,EDWARD,QUINLAN,RETINAL CONSULTANTS OF ARIZONA LTD,Matched (Fuzzy),CALIFORNIA ORBITAL CONSULTANTS INC.,72,,medical group,,,,1053358978.0,1700823051.0
326,ALVARO,DEVIA,GOMEZ KOZAR MCELREATH AND SMITH PROFESSIONAL CORPORATION,Matched (Fuzzy),INAMDAR AND SHETH PROFESSIONAL MEDICAL CORPORATION,75,,medical group,,,,1063402477.0,1760409783.0
327,MICHAEL,ABERN,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1033377403.0,1659085777.0
328,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
329,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
330,CHRISTOPHER,STELTON,SK RETINA LLC,Matched (Fuzzy),"MSK Medical, LLC",71,1659573764.0,CompanyName,,Denver,CO,1013234624.0,1194170779.0
331,RICHARD,BRYAN,SAINT MARYS MEDICAL GROUP INC.,Matched (Fuzzy),"LA Star Medical Group, Inc",81,1801015599.0,CompanyName,,Bellflower,CA,1366428120.0,1861757577.0
332,RAFAEL,MEDRANO,"LAS PALMAS DEL SOL CARDIOLOGY, PLLC",Not Matched,,0,,,,,,1457151821.0,1255690046.0
333,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
334,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
335,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
336,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
337,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
338,ANOOP,SHARMA,ARIZONA STATE UROLOGICAL INSTITUTE LLC,Matched (Fuzzy),"Neurological and Pain Institute, Inc.",74,1164426953.0,CompanyName,,La Mesa,CA,1033185301.0,1144231895.0
339,ADAM,BILLS,"NIVANO PHYSICIANS, INC.",Matched (Fuzzy),HLN PHYSICIANS INC,77,,medical group,,,,1851083380.0,1194871152.0
340,SHEETAL,CHHAYA,DISTRICT MEDICAL GROUP INC,Matched (Fuzzy),"AMERICAN MEDICAL GROUP, INC.",81,,medical group,,,,1033156062.0,1124299334.0
341,SARAH,JOHNSON,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1720530439.0,1659085777.0
342,JONATHAN,RIVERA,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1891798245.0,1659085777.0
343,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
344,SCHADREY,BONDS,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1023475282.0,1134628480.0
345,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
346,KENT,BRAEUTIGAM,PHYSICIANS GROUP SERVICES PA,Matched (Fuzzy),"PHYSICIANS GROUP SERVICES, PA",100,,medical group,,,,1063437861.0,1831530658.0
347,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
348,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
349,LAURA,DE LA TORRE,CAREMORE HEALTH PLAN OF ARIZONA INC,Matched (Fuzzy),"Central Health Plan of California, Inc.",78,1861527301.0,CompanyName,,Diamond Bar,CA,1821316399.0,1992178982.0
350,TODD,HERMAN,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1063788875.0,1487900817.0
351,RODEL,GLORIA,NORTHEAST FLORIDA ENDOCRINE AND DIABETES ASSOCIATES PA,Matched (Fuzzy),"ENDOCRINOLOGY AND DIABETES OF GEORGIA, P.C.",71,,medical group,,,,1023181245.0,1912108721.0
352,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
353,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
354,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
355,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
356,KENT,BRAEUTIGAM,PHYSICIANS GROUP SERVICES PA,Matched (Fuzzy),"PHYSICIANS GROUP SERVICES, PA",100,,medical group,,,,1063437861.0,1831530658.0
357,ANOOP,SHARMA,ARIZONA STATE UROLOGICAL INSTITUTE LLC,Matched (Fuzzy),"Neurological and Pain Institute, Inc.",74,1164426953.0,CompanyName,,La Mesa,CA,1033185301.0,1144231895.0
358,ROSANNA,NICOLETTI,SUMMIT MEDICAL GROUP ARIZONA LLC,Matched (Exact),"SUMMIT MEDICAL GROUP ARIZONA, LLC",100,,medical group,,,,1013927607.0,1053810622.0
359,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
360,DURGA,BORKAR,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063851160.0,1659085777.0
361,DURGA,BORKAR,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063851160.0,1659085777.0
362,VAHE,GYULNAZARYAN,"REGAL MEDICAL GROUP, INC.",Matched (Exact),Regal Medical Group,100,1211111111.0,CompanyName,,Northridge,CA,1053757781.0,1588748073.0
363,MICHELLE,LIN,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1568738383.0,1134628480.0
364,CAMILLE,AGBUYA,"PULMONARY ASSOCIATES, INC.",Matched (Fuzzy),"PULMONARY ASSOCIATES, PA",91,,medical group,,,,1013661495.0,1952436115.0
365,REBECCA,MATRO,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043484405.0,1205959574.0
366,JOHNETTE,SEECOF,CAREMORE HEALTH PLAN OF NEVADA,Not Matched,,0,,,,,,1043285661.0,1770950255.0
367,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
368,SHAW,MAHRE,WESTERN VASCULAR INSTITUTE PLLC,Matched (Fuzzy),NEPA VASCULAR INSTITUTE LLC,76,,medical group,,,,1053050237.0,1265521181.0
369,KATHRYN,BATES,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1962557470.0,1659696821.0
370,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
371,QUANG,NGUYEN,QUANG NGUYEN DO PLLC,Matched (Fuzzy),"Thang P. Nguyen, MD",76,1992729933.0,CompanyName,,Los Angeles,CA,1063778769.0,1558615716.0
372,MOHAMED,RADWAN,LA JOLLA PULMONARY AND CRITICAL CARE INC.,Matched (Fuzzy),MIDLANDS PULMONARY AND CRITICAL CARE,83,,medical group,,,,1194499202.0,1912076365.0
373,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
374,DEVANG,DESAI,RENO HEART INSTITUTE DESAI PC,Matched (Fuzzy),"BOONE HEART INSTITUTE, PC",75,,medical group,,,,1962631515.0,1366183238.0
375,EDWARD,QUINLAN,RETINAL CONSULTANTS OF ARIZONA LTD,Matched (Fuzzy),CALIFORNIA ORBITAL CONSULTANTS INC.,72,,medical group,,,,1053358978.0,1700823051.0
376,SUDHAKAR,REDDY,REDDY GI ASSOCIATES,Matched (Fuzzy),"Gill Medical Associates, Inc",79,1386724805.0,CompanyName,,Lodi ,CA,1649561309.0,1508399544.0
377,SWATHI,ELURI,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1023349503.0,1801054762.0
378,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
379,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
380,CAESAR,ZUNIGA,"BHS PHYSICIANS NETWORK, INC",Matched (Exact),"BHS PHYSICIANS NETWORK, INC.",100,,medical group,,,,1063473254.0,1619554433.0
381,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
382,ADAM,BILLS,"NIVANO PHYSICIANS, INC.",Matched (Fuzzy),HLN PHYSICIANS INC,77,,medical group,,,,1851083380.0,1194871152.0
383,ADOLFO,ANCHONDO,EL PASO PULMONARY ASSOCIATION,Matched (Fuzzy),"PULMONARY ASSOCIATES, PA",88,,medical group,,,,1063410777.0,1568464550.0
384,MONTY,MORALES,"RIOS ARIZONA IPA, PC",Not Matched,,0,,,,,,1043298656.0,1285302349.0
385,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
386,MANOJ,RAWAL,JOSEPH A CAPLAN MD PC,Matched (Fuzzy),JOSEPH G ABDO MD PC,75,,medical group,,,,1003804170.0,1649389156.0
387,RAFAEL,MEDRANO,"LAS PALMAS DEL SOL CARDIOLOGY, PLLC",Not Matched,,0,,,,,,1457151821.0,1255690046.0
388,CAESAR,ZUNIGA,"BHS PHYSICIANS NETWORK, INC",Matched (Exact),"BHS PHYSICIANS NETWORK, INC.",100,,medical group,,,,1063473254.0,1619554433.0
389,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
390,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
391,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
392,TODD,HERMAN,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1063788875.0,1487900817.0
393,CLAUDIO,BONOMETTI,NEVADA HEART AND VASCULAR CENTER RESH LLP,Matched (Fuzzy),NEVADA HEART AND VASCULAR CENTER (RESH) LLP,100,,medical group,,,,1053326728.0,1548747793.0
394,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
395,SHANNON,ZAMBONI,"DRS O'GARA, CAPURRO, & ZAMBONI, ET AL RALSTON MEDICAL LTD",Not Matched,,0,,,,,,1023005303.0,1881670313.0
396,WILLIAM,COWDEN,DISTRICT MEDICAL GROUP INC,Matched (Fuzzy),"AMERICAN MEDICAL GROUP, INC.",81,,medical group,,,,1033384904.0,1124299334.0
397,CAESAR,ZUNIGA,"BHS PHYSICIANS NETWORK, INC",Matched (Exact),"BHS PHYSICIANS NETWORK, INC.",100,,medical group,,,,1063473254.0,1619554433.0
398,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
399,ANNE,FLOYD,ASSOCIATED OPHTHALMOLOGISTS LTD,Matched (Fuzzy),"OTOLARYNGOLOGY ASSOCIATES, LTD",70,,medical group,,,,1306537337.0,1487704581.0
400,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
401,TIMOTHY,DO,"JACKSONVILLE MULTISPECIALTY SERVICES, LLC",Matched (Fuzzy),Curson Multi-Specialty,70,1871594648.0,CompanyName,,Los Angeles,CA,1962161281.0,1427298363.0
402,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
403,,HENDERSON HOSPITAL,HENDERSON HOSPITAL,Matched (Exact),Henderson Hospital,100,1346623451.0,Primary Hospital Affiliation,Kaur,Bethlehem,PA,,1285490292.0
404,QUANG,NGUYEN,QUANG NGUYEN DO PLLC,Matched (Fuzzy),"Thang P. Nguyen, MD",76,1992729933.0,CompanyName,,Los Angeles,CA,1063778769.0,1558615716.0
405,MELISSA,GO,SOUTHWEST KIDNEY INSTITUTE PHOENIX LLC,Matched (Fuzzy),"SOUTHWEST KIDNEY INSTITUTE, PLC",88,,medical group,,,,1053305540.0,1043645864.0
406,BENJAMIN,ROBEY,"WAKE INTERNAL MEDICINE CONSULTANTS, INC.",Matched (Fuzzy),INTERNAL MEDICINE CONSULTANTS OF BIRMINGHAM,78,,medical group,,,,1043607203.0,1699760926.0
407,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
408,,UNICOI COUNTY HOSPITAL,MOUNTAIN STATES HEALTH ALLIANCE,Matched (Fuzzy),Alliance Mental Health,75,1780328229.0,CompanyName,,Raymond,NH,,1073064333.0
409,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
410,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
411,DIMITRIOS,DIAMANDIDIS,THE ONCOLOGY INSTITUTE OF HOPE AND INNOVATION,Not Matched,,0,,,,,,1063457737.0,1285472886.0
412,DURGA,BORKAR,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063851160.0,1659085777.0
413,KENT,BRAEUTIGAM,PHYSICIANS GROUP SERVICES PA,Matched (Fuzzy),"PHYSICIANS GROUP SERVICES, PA",100,,medical group,,,,1063437861.0,1831530658.0
414,BENIGNO,DECENA,"RIOS ARIZONA IPA, PC",Not Matched,,0,,,,,,1023011269.0,1285302349.0
415,JEFFREY,LEVENSON,"LEVENSON EYE ASSOCIATES, INC.",Matched (Fuzzy),PETERSON MEDICAL ASSOCIATES,74,,medical group,,,,1528031408.0,1821213281.0
416,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
417,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
418,CAMILLE,AGBUYA,"PULMONARY ASSOCIATES, INC.",Matched (Fuzzy),"PULMONARY ASSOCIATES, PA",91,,medical group,,,,1013661495.0,1952436115.0
419,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
420,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
421,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
422,SHANNON,ZAMBONI,"DRS O'GARA, CAPURRO, & ZAMBONI, ET AL RALSTON MEDICAL LTD",Not Matched,,0,,,,,,1023005303.0,1881670313.0
423,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
424,EDWARD,QUINLAN,RETINAL CONSULTANTS OF ARIZONA LTD,Matched (Fuzzy),CALIFORNIA ORBITAL CONSULTANTS INC.,72,,medical group,,,,1053358978.0,1700823051.0
425,ANOOP,SHARMA,ARIZONA STATE UROLOGICAL INSTITUTE LLC,Matched (Fuzzy),"Neurological and Pain Institute, Inc.",74,1164426953.0,CompanyName,,La Mesa,CA,1033185301.0,1144231895.0
426,CAMILLE,AGBUYA,"PULMONARY ASSOCIATES, INC.",Matched (Fuzzy),"PULMONARY ASSOCIATES, PA",91,,medical group,,,,1013661495.0,1952436115.0
427,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
428,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
429,FAITH,CUTRONA,SUMMIT MEDICAL GROUP ARIZONA LLC,Matched (Exact),"SUMMIT MEDICAL GROUP ARIZONA, LLC",100,,medical group,,,,1033358387.0,1053810622.0
430,JENNIFER,EDWARDS,"NORTHERN NEVADA HIV OUTPATIENT PROGRAM, EDUCATION AND SERVICES",Not Matched,,0,,,,,,1033453303.0,1659792810.0
431,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
432,,HCA FLORIDA SARASOTA DOCTORS HOSPITAL,SARASOTA DOCTORS HOSPITAL INC,Matched (Fuzzy),DOCTORS MEMORIAL HOSPITAL INC,79,,medical group,,,,,1568779353.0
433,CHIRAG,TRIVEDI,"ARIZONA DIGESTIVE HEALTH, PC",Matched (Fuzzy),ALLIED DIGESTIVE HEALTH LLC,78,,medical group,,,,1013413020.0,1992981583.0
434,JENNIFER,EDWARDS,"NORTHERN NEVADA HIV OUTPATIENT PROGRAM, EDUCATION AND SERVICES",Not Matched,,0,,,,,,1033453303.0,1659792810.0
435,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
436,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
437,SHANNON,ZAMBONI,"DRS O'GARA, CAPURRO, & ZAMBONI, ET AL RALSTON MEDICAL LTD",Not Matched,,0,,,,,,1023005303.0,1881670313.0
438,MICHELLE,LIN,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1568738383.0,1134628480.0
439,REBECCA,JONES,"IORA SENIOR HEALTH, LLC",Matched (Fuzzy),"SPIRE HEALTH, LLC",74,,medical group,,,,1255885620.0,1619376456.0
440,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
441,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
442,MARK,WALSH,"RASW, PC",Not Matched,,0,,,,,,1083316640.0,1407916992.0
443,ASHLEY,ARMBRUSTER,ASCENSION MEDICAL GROUP PROMED,Matched (Fuzzy),ASCENSION MEDICAL GROUP SACRED HEART,82,,medical group,,,,1053762211.0,1013926997.0
444,MICHAEL,PAPPER,"FLORIDA DIGESTIVE HEALTH SPECIALISTS, LLP",Matched (Fuzzy),"DERMATOLOGY HEALTH SPECIALISTS, PC",71,,medical group,,,,1053432104.0,1578385654.0
445,SEAN,HANSEN,,No Practice Name,,0,,,,,,1043638661.0,
446,GEORGE,STOUFFER,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1003994286.0,1801054762.0
447,QUANG,NGUYEN,QUANG NGUYEN DO PLLC,Matched (Fuzzy),"Thang P. Nguyen, MD",76,1992729933.0,CompanyName,,Los Angeles,CA,1063778769.0,1558615716.0
448,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
449,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
450,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
451,ANKUR,PATEL,SOUTHWEST KIDNEY INSTITUTE PHOENIX LLC,Matched (Fuzzy),"SOUTHWEST KIDNEY INSTITUTE, PLC",88,,medical group,,,,1235583956.0,1043645864.0
452,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
453,SHANNON,ZAMBONI,"DRS O'GARA, CAPURRO, & ZAMBONI, ET AL RALSTON MEDICAL LTD",Not Matched,,0,,,,,,1023005303.0,1881670313.0
454,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
455,ASHLEY,ARMBRUSTER,ASCENSION MEDICAL GROUP PROMED,Matched (Fuzzy),ASCENSION MEDICAL GROUP SACRED HEART,82,,medical group,,,,1053762211.0,1013926997.0
456,MATTHEW,GORDON,CARSON TAHOE PHYSICIAN CLINICS,Matched (Fuzzy),"CLINCH VALLEY PHYSICIANS ASSOCIATES, LLC",73,,medical group,,,,1265591382.0,1013297423.0
457,MICHAEL,DEPENBUSCH,,No Practice Name,,0,,,,,,1003897794.0,
458,SRILAKSHMI,SETTIPALLI,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Matched (Fuzzy),NORTHERN APACHE COUNTY SPECIAL HEALTH CARE DISTRICT,78,,medical group,,,,1023305786.0,1003233180.0
459,SYLVIA,GUTIERREZ,ARIZONA HEALTH ADVANTAGE INC.,Matched (Fuzzy),"ADVANTAGE HOME CARE, INC.",75,,medical group,,,,1730641754.0,1982979555.0
460,JAMES,SCHMIDT,ARIZONA HEALTH ADVANTAGE INC.,Matched (Fuzzy),"ADVANTAGE HOME CARE, INC.",75,,medical group,,,,1578234365.0,1982979555.0
